Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
ms_145,145,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1744416041943443,0.00015414824336389853,0.0031313459810545343
ms_87,87,manuscript,0.0,0.0,0.0,0.0,0.0,0.0,1.968618543085319e-58,0.00167794128685817
ms_170,170,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.16880308769513316,0.0008529897972638324,0.0021534265921740706
ms_238,238,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.19906498727597596,0.0033200015036589847,0.0017726553342964965
ms_92,92,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_301,301,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_90,90,manuscript,1.0,1.0,2.0,0.005681818181818182,4.046879046879047e-05,0.24702890882214612,0.06629664174568979,0.001692205846017647
ms_44,44,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1782560606060606,0.00022092191658858466,0.001974174588567747
ms_30,30,manuscript,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.23620502730485066,0.06586799110063102,0.001692205846017647
ms_83,83,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.19906498727597596,0.0033200015036589847,0.0017726553342964965
ms_241,241,manuscript,0.0,1.0,1.0,0.002840909090909091,0.0,0.17498958829128988,0.00015958129591162125,0.00167794128685817
ms_242,242,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_76,76,manuscript,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.2452165177082639,0.06694870668818537,0.001692205846017647
ms_222,222,manuscript,1.0,1.0,2.0,0.011363636363636364,0.0006766638711083157,0.20811339578852034,0.034721466064252325,0.0018188038085580056
ms_27,27,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_147,147,manuscript,0.0,1.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.00167794128685817
ms_155,155,manuscript,1.0,1.0,2.0,0.005681818181818182,7.77900083455639e-05,0.2543608170748582,0.0708796389466152,0.001692205846017647
ms_231,231,manuscript,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.22955364947552448,0.0019062528057863398,0.0017096403072125632
ms_107,107,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_53,53,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.2031794003868472,0.019709201452776395,0.007803995784647515
